iter	Passed	Remaining
753	7618	2485
754	7627	2475
755	7639	2465
756	7650	2455
757	7659	2445
758	7668	2435
759	7678	2424
760	7689	2415
761	7701	2405
762	7710	2394
763	7722	2385
764	7734	2375
765	7743	2365
766	7756	2356
767	7768	2346
768	7777	2336
769	7789	2326
770	7802	2317
771	7813	2307
772	7824	2297
773	7837	2288
774	7849	2278
775	7860	2269
776	7871	2259
777	7883	2249
778	7891	2238
779	7902	2228
780	7912	2218
781	7921	2208
782	7932	2198
783	7940	2187
784	7951	2177
785	7962	2167
786	7972	2157
787	7982	2147
788	7991	2137
789	8002	2127
790	8014	2117
791	8023	2107
792	8035	2097
793	8046	2087
794	8056	2077
795	8069	2068
796	8080	2058
797	8090	2048
798	8101	2038
799	8112	2028
800	8123	2018
801	8135	2008
802	8147	1998
803	8157	1988
804	8215	1990
805	8236	1982
806	8249	1972
807	8261	1963
808	8271	1952
809	8283	1943
810	8294	1933
811	8304	1922
812	8315	1912
813	8326	1902
814	8336	1892
815	8348	1882
816	8358	1872
817	8367	1861
818	8379	1851
819	8387	1841
820	8398	1831
821	8408	1820
822	8417	1810
823	8428	1800
824	8436	1789
825	8447	1779
826	8455	1768
827	8465	1758
828	8475	1748
829	8484	1737
830	8494	1727
831	8503	1717
832	8514	1706
833	8524	1696
834	8533	1686
835	8543	1675
836	8551	1665
837	8563	1655
838	8574	1645
839	8584	1635
840	8595	1625
841	8606	1614
842	8614	1604
843	8625	1594
844	8634	1583
845	8645	1573
846	8654	1563
847	8663	1552
848	8673	1542
849	8682	1532
850	8693	1522
851	8702	1511
852	8711	1501
853	8722	1491
854	8731	1480
855	8742	1470
856	8751	1460
857	8762	1450
858	8772	1440
859	8781	1429
860	8792	1419
861	8800	1408
862	8812	1398
863	8823	1388
864	8831	1378
865	8842	1368
866	8853	1358
867	8864	1348
868	8877	1338
869	8889	1328
870	8899	1318
871	8912	1308
872	8926	1298
873	8936	1288
874	8947	1278
875	8959	1268
876	8970	1258
877	8995	1249
878	9006	1239
879	9017	1229
880	9028	1219
881	9038	1209
882	9047	1198
883	9060	1188
884	9074	1179
885	9085	1169
886	9096	1158
887	9108	1148
888	9119	1138
889	9130	1128
890	9143	1118
891	9154	1108
892	9164	1098
893	9174	1087
894	9184	1077
895	9195	1067
896	9219	1058
897	9229	1048
898	9239	1038
899	9250	1027
900	9260	1017
901	9271	1007
902	9283	997
903	9292	986
904	9305	976
905	9315	966
906	9326	956
907	9337	946
908	9347	935
909	9357	925
910	9367	915
911	9376	904
912	9387	894
913	9398	884
914	9407	873
915	9418	863
916	9427	853
917	9438	843
918	9448	832
919	9457	822
920	9467	812
921	9475	801
922	9485	791
923	9496	781
924	9505	770
925	9516	760
926	9526	750
927	9536	739
928	9548	729
929	9558	719
930	9570	709
931	9580	699
932	9590	688
933	9601	678
934	9612	668
935	9620	657
936	9631	647
937	9639	637
938	9650	626
939	9660	616
940	9670	606
941	9682	596
942	9691	585
943	9702	575
944	9714	565
945	9724	555
946	9735	544
947	9746	534
948	9756	524
949	9768	514
950	9779	503
951	9787	493
952	9798	483
953	9808	472
954	9817	462
955	9827	452
956	9836	441
957	9846	431
958	9856	421
959	9868	411
960	9879	400
961	9888	390
962	9899	380
963	9910	370
964	9919	359
965	9931	349
966	9942	339
967	9952	328
968	9963	318
969	9974	308
970	9984	298
971	9995	287
972	10005	277
973	10016	267
974	10026	257
975	10036	246
976	10047	236
977	10058	226
978	10068	215
979	10079	205
980	10090	195
981	10100	185
982	10111	174
983	10120	164
984	10130	154
985	10142	144
986	10151	133
987	10162	123
988	10172	113
989	10182	102
990	10194	92
991	10205	82
992	10216	72
993	10228	61
994	10239	51
995	10249	41
996	10261	30
997	10273	20
998	10283	10
999	10295	0
